"","Selectivity","CAt_DW","logDiff","ShapeIndex_DW","sp3_At_DW","logSw","T_PSA","HBD","HBA","logD"
"2_4-DEP","",-0.205672624609955,-0.512152002139199,-0.856616195445068,-0.212020345822756,-1.58669999771652,-0.439214731078257,-0.848199819203203,-0.309942892780667,1.2116269194857
"aclonifen","",-0.47721583173922,0.707453183875545,0.366414351263852,-0.545203202366714,-0.487002944855752,-0.42945520776336,-0.350226576636095,-0.494750539517821,0.552491147840641
"alorac","",-0.635616035897958,0.929040239688196,-0.543966480891916,-0.57852148802111,0.729497783976756,-0.439598425844627,-0.350226576636095,-0.587154362886399,-0.598638653673033
"amidochlor","",-0.409330029956904,0.249765585923388,-1.65246322435371,-0.411930059749131,0.516230955497788,-0.441482709053731,-0.350226576636095,-0.494750539517821,-0.0199300210959494
"amitrole","",-0.703501837680274,2.33965996638825,1.06263952723872,-0.645158059329902,1.61388626500377,-0.434576203259071,0.147746665931013,-0.587154362886399,-0.795121892438453
"asulam","",-0.567730234115642,0.812855330780788,1.06263952723872,-0.545203202366714,1.0422117905824,-0.422837422782997,0.147746665931013,-0.309942892780667,-0.572702866155998
"barban","",-0.499844432333325,0.685254230205364,2.1068519806942,-0.545203202366714,0.339887754985791,-0.445691954609553,-0.350226576636095,-0.587154362886399,0.406045640547481
"BCPC","",-0.499844432333325,0.707453183875545,1.06263952723872,-0.478566631057923,0.357084555482242,-0.445691954609553,-0.350226576636095,-0.587154362886399,0.436173070491512
"beflubutamid","",-0.341444228174588,0.206006111757451,-0.274047649169477,-0.445248345403527,-0.262313168640729,-0.445691954609553,-0.350226576636095,-0.587154362886399,0.638419817594051
"bensulfuron","",-0.409330029956904,0.0948018103166331,-0.793835631520768,-0.411930059749131,0.846603929962991,-0.40068189924369,0.645719908498121,0.152076224062219,-0.89834108720322
"bentranil","",-0.431958630551009,0.859999298763767,0.0798292221323657,-0.611839773675506,-0.203476014902048,-0.443879851604023,-0.848199819203203,-0.587154362886399,0.214277999512431
"benzadox","",-0.545101633521536,1.05671281895748,1.65936816078666,-0.545203202366714,1.18507188754919,-0.431521840960442,0.147746665931013,-0.402346716149244,-0.877644852719929
"benzipram","",-0.318815627580482,0.206006111757451,-0.72754637340509,-0.445248345403527,0.171326199973976,-0.452537677074888,-0.848199819203203,-0.679558186254976,0.523411628503359
"benzobicyclon","",-0.250929825798166,-0.120749925227379,-1.24194600396248,-0.378611774094735,-1.02034425801422,-0.434314075151353,-0.848199819203203,-0.494750539517821,0.548299505413645
"benzofenap","",-0.250929825798166,-0.109118158286108,-0.3778047488288,-0.445248345403527,-0.951092853314328,-0.437007536432109,-0.848199819203203,-0.494750539517821,0.75185614077462
"benzofluor","",-0.522473032927431,0.511950596519861,-0.329685514204186,-0.445248345403527,0.332582640624788,-0.442713571472582,-0.350226576636095,-0.587154362886399,0.213492066557369
"benzoylprop","",-0.386701429362798,0.296024569496593,-1.02591069017906,-0.545203202366714,0.115197978770768,-0.438367563425777,-0.350226576636095,-0.494750539517821,-0.346616152749921
"bicyclopyrone","",-0.318815627580482,0.105446529091287,-1.4733945100866,-0.212020345822756,0.462874606833179,-0.427688692254824,-0.350226576636095,-0.309942892780667,-0.412372543323415
"bilanafos","",-0.499844432333325,0.206006111757451,0.465910893690786,-0.245338631477152,1.70638284622156,-0.399918308669032,1.64166639363234,-0.0327314226749357,-1.52577756299413
"bispyribac","",-0.318815627580482,0.0152793119048245,-1.2280365377038,-0.278656917131548,1.11787296807262,-0.405457189553859,-0.350226576636095,0.244480047430796,-1.04400066154132
"bromobutide","",-0.409330029956904,0.279604606797757,-0.329685514204186,-0.378611774094735,0.325006906525242,-0.449198392920044,-0.350226576636095,-0.679558186254976,0.532318868660724
"buthidazole","",-0.522473032927431,0.645910302093989,-0.657372489577528,-0.378611774094735,1.29440441782921,-0.433827808516745,-0.350226576636095,-0.309942892780667,-0.173448924984664
"cambendichlor","",-0.160415423421745,-0.457954907545512,-1.53391948488787,-0.311975202785944,-0.972290002413704,-0.432027102385464,-0.848199819203203,-0.21753906941209,1.19695617099122
"carbasulam","",-0.522473032927431,0.52984897314713,1.28243415622719,-0.478566631057923,0.932619296252537,-0.418160905382982,0.147746665931013,-0.125135246043513,-0.35997701298597
"carbetamide","",-0.47721583173922,0.605917559644765,1.55398202453848,-0.478566631057923,0.978019444759696,-0.434636986588397,0.147746665931013,-0.402346716149244,-0.101667048422364
"carboxazole","",-0.545101633521536,0.906244282564665,0.764275210464755,-0.445248345403527,0.863645208829734,-0.435803266719838,-0.350226576636095,-0.402346716149244,0.127563396803959
"CDEA","",-0.612987435303852,1.19613159808948,1.06263952723872,-0.478566631057923,1.55029341622381,-0.452537677074888,-0.848199819203203,-0.679558186254976,-0.276930097401119
"CEPC","",-0.545101633521536,0.859999298763767,1.65936816078666,-0.545203202366714,0.464831764919457,-0.445691954609553,-0.350226576636095,-0.587154362886399,0.320640926097445
