"","Selectivity","CAt_DW","logDiff","ShapeIndex_DW","sp3_At_DW","logSw","T_PSA","HBD","HBA","logP"
"indanofan","",-0.296187026986377,0.249765585923388,-1.54807957216021,-0.411930059749131,-0.642512040814464,-0.442523623568438,-0.848199819203203,-0.587154362886399,0.310494245442316
"indaziflam","",-0.386701429362798,0.312334103197697,-1.02591069017906,-0.411930059749131,0.179347676879474,-0.431107754529409,0.147746665931013,-0.402346716149244,0.0300263599784046
"iofensulfuron","",-0.47721583173922,0.21955485350387,-0.208635564601644,-0.511884916712319,0.610454239573763,-0.41346159423447,0.147746665931013,-0.0327314226749357,-0.442668209387012
"isocarbamid","",-0.567730234115642,0.95412028730538,0.419921937682367,-0.445248345403527,1.15155882591689,-0.436912562480037,0.147746665931013,-0.402346716149244,-0.70153347704104
"isonoruron","",-0.454587231145115,0.645910302093989,-0.242720022460745,-0.245338631477152,0.633905263917008,-0.447967530501193,-0.350226576636095,-0.587154362886399,-0.122656548949077
"isoxaben","",-0.341444228174588,0.119567206489754,-1.02591069017906,-0.311975202785944,0.080050915522585,-0.432296828409348,-0.350226576636095,-0.309942892780667,0.325140088025288
"isoxachlortole","",-0.431958630551009,0.407953017117455,-1.32427500695303,-0.478566631057923,-0.262313168640729,-0.4309102087091,-0.848199819203203,-0.402346716149244,-0.267284244455924
"isoxaflutole","",-0.409330029956904,0.34141769479491,-1.54807957216021,-0.445248345403527,-0.262313168640729,-0.4309102087091,-0.848199819203203,-0.402346716149244,-0.198082638251382
"karbutilate","",-0.431958630551009,0.325303219748214,0.227194378170244,-0.411930059749131,0.544485662920254,-0.433406124169546,0.147746665931013,-0.309942892780667,-0.108742998495254
"ketospiradox","",-0.296187026986377,0.0152793119048245,-2.3684874604085,-0.17870206016836,0.228107844660411,-0.419615906328722,-0.350226576636095,-0.21753906941209,-0.532373995207715
"lancotrione","",-0.318815627580482,-0.070743643207349,-1.24194600396248,-0.17870206016836,0.313089664715365,-0.416109468018232,-0.350226576636095,-0.125135246043513,-0.510039085268683
